who_region,city,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,latitude,longitude
4_Eur,A Coruna/ESP,2013.0,23.238,11.491,28.841,87.0,46.0,93.0,43.3679,-8.418571143
4_Eur,A Coruna/ESP,2014.0,27.476,15.878,19.575,96.0,88.0,95.0,43.36803333,-8.418233333
4_Eur,A Coruna/ESP,2015.0,25.515,14.004,22.731,98.0,71.0,98.0,43.370375,-8.4229
4_Eur,A Coruna/ESP,2016.0,23.057,13.16,20.204,98.0,98.0,98.0,43.370375,-8.4229
4_Eur,A Coruna/ESP,2017.0,26.849,14.114,21.543,97.0,97.0,98.0,43.370375,-8.4229
4_Eur,A Coruna/ESP,2018.0,27.763,14.876,20.328,98.0,86.0,99.0,43.370375,-8.4229
4_Eur,A Coruna/ESP,2019.0,26.912,13.017,18.339,98.0,95.0,98.0,43.370375,-8.4229
4_Eur,A Coruna/ESP,2020.0,24.9,12.926,13.749,99.0,98.0,99.0,43.37146667,-8.423666667
4_Eur,A Coruna/ESP,2021.0,23.228,11.617,15.67,99.0,98.0,99.0,43.37146667,-8.423666667
6_Wpr,A La Shan Zuo Qi/CHN,2015.0,,33.015,,,100.0,,38.8395,105.69215
6_Wpr,A La Shan Zuo Qi/CHN,2016.0,,34.394,,,100.0,,38.8395,105.69215
4_Eur,Aachen/DEU,2010.0,25.955,,37.283,98.0,,93.0,50.763918,6.094849
4_Eur,Aachen/DEU,2013.0,25.059,13.988,39.905,100.0,98.0,97.0,50.76751117,6.095638333
4_Eur,Aachen/DEU,2014.0,21.168,11.512,39.148,99.0,99.0,96.0,50.7675,6.095633333
4_Eur,Aachen/DEU,2015.0,19.983,11.03,36.262,99.0,98.0,97.0,50.7675,6.095633333
4_Eur,Aachen/DEU,2016.0,18.149,10.214,38.217,99.0,49.0,97.0,50.774225,6.1025
4_Eur,Aachen/DEU,2017.0,17.43,10.231,36.298,100.0,50.0,99.0,50.774225,6.1025
4_Eur,Aachen/DEU,2018.0,17.954,10.808,35.856,98.0,50.0,99.0,50.774225,6.1025
4_Eur,Aachen/DEU,2019.0,16.09,8.633,28.995,99.0,49.0,98.0,50.774225,6.1025
4_Eur,Aachen/DEU,2020.0,13.796,7.818,25.153,100.0,63.0,99.0,50.774225,6.1025
4_Eur,Aachen/DEU,2021.0,14.528,9.055,25.274,97.0,73.0,97.0,50.774225,6.1025
4_Eur,Aadorf/CHE,2010.0,16.271,,14.17,100.0,,100.0,47.479767,8.904696
4_Eur,Aadorf/CHE,2013.0,15.295,,13.745,,,99.0,47.4798,8.90468
4_Eur,Aadorf/CHE,2015.0,13.19,,12.938,,,100.0,47.4798,8.90468
4_Eur,Aadorf/CHE,2016.0,11.451,,11.905,,,100.0,47.4798,8.90468
4_Eur,Aadorf/CHE,2017.0,11.322,,11.3,,,100.0,47.4798,8.90468
4_Eur,Aadorf/CHE,2018.0,13.026,,11.98,,,99.0,47.4798,8.90468
4_Eur,Aadorf/CHE,2019.0,10.931,,11.113,,,100.0,47.4798,8.90468
4_Eur,Aalborg/DNK,2010.0,,17.319,26.971,,90.0,90.0,57.049444,9.924178
4_Eur,Aalborg/DNK,2013.0,,11.001,22.924,,95.0,92.0,57.04944613,9.924185417
4_Eur,Aalborg/DNK,2014.0,,16.024,22.576,,38.0,79.0,57.04945,9.9242
4_Eur,Aalborg/DNK,2015.0,,,11.558,,,92.0,57.0467,9.9309
4_Eur,Aalborg/DNK,2016.0,,,12.876,,,93.0,57.0467,9.9309
4_Eur,Aalborg/DNK,2017.0,,8.134,11.346,,96.0,93.0,57.0467,9.9309
4_Eur,Aalborg/DNK,2018.0,,11.503,11.382,,95.0,93.0,57.0467,9.9309
4_Eur,Aalborg/DNK,2019.0,,9.558,10.229,,96.0,94.0,57.0467,9.9309
4_Eur,Aalborg/DNK,2020.0,,7.548,13.243,,98.0,92.0,57.046,9.92295
4_Eur,Aalen/DEU,2010.0,21.047,,22.466,100.0,,96.0,48.847917,10.096292
4_Eur,Aalen/DEU,2013.0,17.698,,20.548,98.0,,97.0,48.84791133,10.09629467
4_Eur,Aalen/DEU,2014.0,19.114,,21.772,94.0,,98.0,48.8479,10.0963
